productId,productName,category,price,quantity,createdDate
PRD001,Laptop Pro 15,ELECTRONICS,1299.99,50,2023-01-15
PRD002,Wireless Mouse,ELECTRONICS,29.99,200,2023-01-16
PRD003,Office Chair,FURNITURE,199.99,25,2023-01-17
PRD004,Coffee Maker,APPLIANCES,89.99,75,2023-01-18
PRD005,Smartphone X,ELECTRONICS,799.99,100,2023-01-19
PRD006,Desk Lamp,FURNITURE,45.99,150,2023-01-20
PRD007,Bluetooth Speaker,ELECTRONICS,59.99,80,2023-01-21
PRD008,Standing Desk,FURNITURE,299.99,30,2023-01-22
PRD009,Tablet Pro,ELECTRONICS,499.99,60,2023-01-23
PRD010,Microwave Oven,APPLIANCES,129.99,40,2023-01-24
PRD011,Gaming Keyboard,ELECTRONICS,79.99,90,2023-01-25
PRD012,Bookshelf,FURNITURE,149.99,20,2023-01-26
PRD013,Air Fryer,APPLIANCES,119.99,55,2023-01-27
PRD014,Monitor 27inch,ELECTRONICS,249.99,45,2023-01-28
PRD015,Ergonomic Cushion,FURNITURE,39.99,100,2023-01-29
